gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Maintained,Maintained,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
algorithm,Algorithm,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
programming language,Programming Language,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
web service,Web Service,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
version number,Version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.9077; levenshtein=0.5385; semantic=0.9414; sequence_match=0.7000,False,0.8497,True,selected
Open source software license,Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.3200; semantic=0.4677; sequence_match=0.4324,False,0.5038,False,top-3 avg score 0.5038 < final_threshold 0.6
desktop graphical user interface,Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6935; levenshtein=0.2414; semantic=0.5244; sequence_match=0.2927,False,0.5035,False,top-3 avg score 0.5035 < final_threshold 0.6
Source code available,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4729; levenshtein=0.2105; semantic=0.6775; sequence_match=0.3571,False,0.5025,False,top-3 avg score 0.5025 < final_threshold 0.6
programming language,Proprietary Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5889; levenshtein=0.2632; semantic=0.5228; sequence_match=0.3889,False,0.5002,False,top-3 avg score 0.5002 < final_threshold 0.6
data item,Unmaintained,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.5833; levenshtein=0.4167; semantic=0.3860; sequence_match=0.5000,False,0.5,False,top-3 avg score 0.5000 < final_threshold 0.6
application programming interface,Algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6323; levenshtein=0.1935; semantic=0.6159; sequence_match=0.2500,False,0.4994,False,top-3 avg score 0.4994 < final_threshold 0.6
Development status,Open Source,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4843; levenshtein=0.2941; semantic=0.5689; sequence_match=0.4444,False,0.4992,False,top-3 avg score 0.4992 < final_threshold 0.6
Purchase cost,Help Access,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6972; levenshtein=0.2500; semantic=0.4363; sequence_match=0.3636,False,0.499,False,top-3 avg score 0.4990 < final_threshold 0.6
file rendering,Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6264; levenshtein=0.2308; semantic=0.4703; sequence_match=0.4000,False,0.4989,False,top-3 avg score 0.4989 < final_threshold 0.6
Maintained,Proprietary License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5333; levenshtein=0.2778; semantic=0.5345; sequence_match=0.4286,False,0.4988,False,top-3 avg score 0.4988 < final_threshold 0.6
software,Proprietary License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5009; levenshtein=0.2222; semantic=0.6107; sequence_match=0.3846,False,0.4987,False,top-3 avg score 0.4987 < final_threshold 0.6
web service,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5519; levenshtein=0.2000; semantic=0.6284; sequence_match=0.3158,False,0.4987,False,top-3 avg score 0.4987 < final_threshold 0.6
software,Data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.2500; semantic=0.5781; sequence_match=0.3333,False,0.4983,False,top-3 avg score 0.4983 < final_threshold 0.6
CEL ASCII format,Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.4943; sequence_match=0.3810,False,0.4981,False,top-3 avg score 0.4981 < final_threshold 0.6
data format specification,Platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6703; levenshtein=0.2174; semantic=0.4351; sequence_match=0.3871,False,0.4975,False,top-3 avg score 0.4975 < final_threshold 0.6
Purchase cost,Proprietary License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6204; levenshtein=0.2778; semantic=0.5372; sequence_match=0.3333,False,0.497,False,top-3 avg score 0.4970 < final_threshold 0.6
algorithm,Capability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5444; levenshtein=0.2000; semantic=0.5235; sequence_match=0.4211,False,0.4963,False,top-3 avg score 0.4963 < final_threshold 0.6
Maintained,Programming Language,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5830; levenshtein=0.2105; semantic=0.4897; sequence_match=0.4138,False,0.4955,False,top-3 avg score 0.4955 < final_threshold 0.6
programming language,Maintained,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5830; levenshtein=0.2105; semantic=0.4897; sequence_match=0.4138,False,0.4955,False,top-3 avg score 0.4955 < final_threshold 0.6
web service,Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5738; levenshtein=0.3000; semantic=0.5589; sequence_match=0.3529,False,0.4952,False,top-3 avg score 0.4952 < final_threshold 0.6
Not Free,Unmaintained,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5595; levenshtein=0.2500; semantic=0.6090; sequence_match=0.3158,False,0.4948,False,top-3 avg score 0.4948 < final_threshold 0.6
PROcess,Software Source,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6238; levenshtein=0.1429; semantic=0.4720; sequence_match=0.3810,False,0.4922,False,top-3 avg score 0.4922 < final_threshold 0.6
file rendering,License Permissiveness,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6329; levenshtein=0.2857; semantic=0.4868; sequence_match=0.3529,False,0.4909,False,top-3 avg score 0.4909 < final_threshold 0.6
data format specification,Algorithm Usage Output,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6102; levenshtein=0.2174; semantic=0.4883; sequence_match=0.3721,False,0.4902,False,top-3 avg score 0.4902 < final_threshold 0.6
desktop graphical user interface,Programming Language,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5707; levenshtein=0.3103; semantic=0.5867; sequence_match=0.2917,False,0.4892,False,top-3 avg score 0.4892 < final_threshold 0.6
Development status,Open Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5611; levenshtein=0.2941; semantic=0.4613; sequence_match=0.4444,False,0.489,False,top-3 avg score 0.4890 < final_threshold 0.6
application programming interface,Algorithm Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6226; levenshtein=0.2258; semantic=0.5774; sequence_match=0.2667,False,0.4889,False,top-3 avg score 0.4889 < final_threshold 0.6
Not Free,Maintained,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5762; levenshtein=0.2000; semantic=0.5369; sequence_match=0.3529,False,0.4887,False,top-3 avg score 0.4887 < final_threshold 0.6
software,Open Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5500; levenshtein=0.1000; semantic=0.5796; sequence_match=0.3333,False,0.4877,False,top-3 avg score 0.4877 < final_threshold 0.6
Free,Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5556; levenshtein=0.2500; semantic=0.5298; sequence_match=0.3750,False,0.4868,False,top-3 avg score 0.4868 < final_threshold 0.6
CEL binary format,Version Feature,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6365; levenshtein=0.2000; semantic=0.4076; sequence_match=0.4138,False,0.486,False,top-3 avg score 0.4860 < final_threshold 0.6
Not Free,Proprietary License,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5307; levenshtein=0.2778; semantic=0.6485; sequence_match=0.1600,False,0.4857,False,top-3 avg score 0.4857 < final_threshold 0.6
algorithm,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4815; levenshtein=0.0000; semantic=0.6418; sequence_match=0.3333,False,0.4855,False,top-3 avg score 0.4855 < final_threshold 0.6
software interface,Open Format,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6087; levenshtein=0.2941; semantic=0.5533; sequence_match=0.2222,False,0.4854,False,top-3 avg score 0.4854 < final_threshold 0.6
Maintained,Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5762; levenshtein=0.2000; semantic=0.5211; sequence_match=0.3529,False,0.4834,False,top-3 avg score 0.4834 < final_threshold 0.6
desktop graphical user interface,Software License Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6938; levenshtein=0.2759; semantic=0.4636; sequence_match=0.2917,False,0.483,False,top-3 avg score 0.4830 < final_threshold 0.6
plain text file format,Maintenance Status,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6307; levenshtein=0.3158; semantic=0.3717; sequence_match=0.4444,False,0.4823,False,top-3 avg score 0.4823 < final_threshold 0.6
XML,Tool,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5278; levenshtein=0.2500; semantic=0.6329; sequence_match=0.2857,False,0.4821,False,top-3 avg score 0.4821 < final_threshold 0.6
file rendering,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5801; levenshtein=0.2308; semantic=0.5919; sequence_match=0.2727,False,0.4816,False,top-3 avg score 0.4816 < final_threshold 0.6
Source code available,Software License Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5842; levenshtein=0.1579; semantic=0.4911; sequence_match=0.3684,False,0.4813,False,top-3 avg score 0.4813 < final_threshold 0.6
Development status,Version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5189; levenshtein=0.1765; semantic=0.5900; sequence_match=0.3333,False,0.4807,False,top-3 avg score 0.4807 < final_threshold 0.6
Not Free,GIF Rendering,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5770; levenshtein=0.2500; semantic=0.4441; sequence_match=0.4211,False,0.4807,False,top-3 avg score 0.4807 < final_threshold 0.6
software developer organization,Collaborator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5757; levenshtein=0.2414; semantic=0.5248; sequence_match=0.3415,False,0.4806,False,top-3 avg score 0.4806 < final_threshold 0.6
software,Help Resource,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4722; levenshtein=0.1667; semantic=0.5689; sequence_match=0.4000,False,0.4804,False,top-3 avg score 0.4804 < final_threshold 0.6
software,Platform,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5833; levenshtein=0.2500; semantic=0.6076; sequence_match=0.2500,False,0.4803,False,top-3 avg score 0.4803 < final_threshold 0.6
text editing,Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5671; levenshtein=0.2727; semantic=0.5394; sequence_match=0.3333,False,0.4799,False,top-3 avg score 0.4799 < final_threshold 0.6
algorithm,Data Format Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5709; levenshtein=0.2857; semantic=0.5188; sequence_match=0.3478,False,0.4792,False,top-3 avg score 0.4792 < final_threshold 0.6
software developer organization,Collaboration Request,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6085; levenshtein=0.1724; semantic=0.4617; sequence_match=0.3673,False,0.4792,False,top-3 avg score 0.4792 < final_threshold 0.6
version number,Web Service,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5615; levenshtein=0.2308; semantic=0.5270; sequence_match=0.3478,False,0.4788,False,top-3 avg score 0.4788 < final_threshold 0.6
Not Free,Maintenance Status,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6022; levenshtein=0.1176; semantic=0.4996; sequence_match=0.3333,False,0.4784,False,top-3 avg score 0.4784 < final_threshold 0.6
version number,Feature,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5430; levenshtein=0.2308; semantic=0.5913; sequence_match=0.3000,False,0.4781,False,top-3 avg score 0.4781 < final_threshold 0.6
desktop graphical user interface,Maintenance Status,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6095; levenshtein=0.1724; semantic=0.4768; sequence_match=0.3478,False,0.478,False,top-3 avg score 0.4780 < final_threshold 0.6
software interface,GIF Rendering,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5698; levenshtein=0.3529; semantic=0.5091; sequence_match=0.3448,False,0.4773,False,top-3 avg score 0.4773 < final_threshold 0.6
application programming interface,License Permissiveness,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5140; levenshtein=0.2903; semantic=0.5326; sequence_match=0.3846,False,0.4771,False,top-3 avg score 0.4771 < final_threshold 0.6
software developer organization,Programming Language,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4904; levenshtein=0.1724; semantic=0.6057; sequence_match=0.3333,False,0.4765,False,top-3 avg score 0.4765 < final_threshold 0.6
.csv,Web Service,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6222; levenshtein=0.2000; semantic=0.6064; sequence_match=0.1538,False,0.4762,False,top-3 avg score 0.4762 < final_threshold 0.6
web service,Version Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5905; levenshtein=0.2857; semantic=0.5038; sequence_match=0.3333,False,0.4759,False,top-3 avg score 0.4759 < final_threshold 0.6
CEL ASCII format,Developer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5767; levenshtein=0.1429; semantic=0.5020; sequence_match=0.3478,False,0.4755,False,top-3 avg score 0.4755 < final_threshold 0.6
programming language,Algorithm Usage Output,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5421; levenshtein=0.1000; semantic=0.5762; sequence_match=0.3077,False,0.4753,False,top-3 avg score 0.4753 < final_threshold 0.6
CEL ASCII format,Version Feature,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5893; levenshtein=0.1429; semantic=0.4051; sequence_match=0.4286,False,0.4743,False,top-3 avg score 0.4743 < final_threshold 0.6
software developer organization,Open Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5670; levenshtein=0.2069; semantic=0.4970; sequence_match=0.3590,False,0.4743,False,top-3 avg score 0.4743 < final_threshold 0.6
Purchase cost,Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5794; levenshtein=0.0833; semantic=0.4254; sequence_match=0.4167,False,0.4738,False,top-3 avg score 0.4738 < final_threshold 0.6
desktop graphical user interface,Software Source,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6005; levenshtein=0.2414; semantic=0.5416; sequence_match=0.2791,False,0.4737,False,top-3 avg score 0.4737 < final_threshold 0.6
programming language,Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5497; levenshtein=0.1579; semantic=0.5480; sequence_match=0.3226,False,0.4734,False,top-3 avg score 0.4734 < final_threshold 0.6
programming language,Unmaintained,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5553; levenshtein=0.2105; semantic=0.4760; sequence_match=0.3871,False,0.4728,False,top-3 avg score 0.4728 < final_threshold 0.6
.csv,Task,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5278; levenshtein=0.2500; semantic=0.6038; sequence_match=0.2857,False,0.4724,False,top-3 avg score 0.4724 < final_threshold 0.6
software developer role,Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6587; levenshtein=0.1905; semantic=0.4712; sequence_match=0.2857,False,0.4719,False,top-3 avg score 0.4719 < final_threshold 0.6
Development status,Help Resource,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5874; levenshtein=0.2941; semantic=0.5338; sequence_match=0.2759,False,0.4718,False,top-3 avg score 0.4718 < final_threshold 0.6
Source code available,Data,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5351; levenshtein=0.1579; semantic=0.6194; sequence_match=0.2609,False,0.4718,False,top-3 avg score 0.4718 < final_threshold 0.6
desktop graphical user interface,Proprietary Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5954; levenshtein=0.2414; semantic=0.4720; sequence_match=0.3478,False,0.4718,False,top-3 avg score 0.4718 < final_threshold 0.6
algorithm,Data Usage For Task,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4894; levenshtein=0.2500; semantic=0.5255; sequence_match=0.4000,False,0.4716,False,top-3 avg score 0.4716 < final_threshold 0.6
application programming interface,Proprietary Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5998; levenshtein=0.2258; semantic=0.5217; sequence_match=0.2917,False,0.471,False,top-3 avg score 0.4710 < final_threshold 0.6
desktop graphical user interface,GIF Rendering,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6127; levenshtein=0.2069; semantic=0.5561; sequence_match=0.2439,False,0.4709,False,top-3 avg score 0.4709 < final_threshold 0.6
algorithm,Data,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4537; levenshtein=0.1111; semantic=0.6513; sequence_match=0.3077,False,0.4709,False,top-3 avg score 0.4709 < final_threshold 0.6
function,Community Development,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5722; levenshtein=0.2500; semantic=0.4821; sequence_match=0.3571,False,0.4705,False,top-3 avg score 0.4705 < final_threshold 0.6
function,GIF Rendering,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5278; levenshtein=0.2500; semantic=0.4834; sequence_match=0.4000,False,0.4704,False,top-3 avg score 0.4704 < final_threshold 0.6
PROcess,Proprietary Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6022; levenshtein=0.2353; semantic=0.4755; sequence_match=0.3333,False,0.4704,False,top-3 avg score 0.4704 < final_threshold 0.6
data item,Platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.2500; semantic=0.4516; sequence_match=0.3750,False,0.47,False,top-3 avg score 0.4700 < final_threshold 0.6
CEL ASCII format,Algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.2143; semantic=0.4723; sequence_match=0.3478,False,0.4691,False,top-3 avg score 0.4691 < final_threshold 0.6
programming language,Maintenance Status,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5566; levenshtein=0.1053; semantic=0.5169; sequence_match=0.3333,False,0.4689,False,top-3 avg score 0.4689 < final_threshold 0.6
software interface,Programming Language,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5055; levenshtein=0.2632; semantic=0.6217; sequence_match=0.2778,False,0.4683,False,top-3 avg score 0.4683 < final_threshold 0.6
application programming interface,Proprietary License,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6003; levenshtein=0.2581; semantic=0.5457; sequence_match=0.2449,False,0.468,False,top-3 avg score 0.4680 < final_threshold 0.6
Source code available,Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5497; levenshtein=0.2105; semantic=0.5314; sequence_match=0.3226,False,0.4679,False,top-3 avg score 0.4679 < final_threshold 0.6
web service,Software License Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6154; levenshtein=0.2105; semantic=0.4432; sequence_match=0.3448,False,0.4678,False,top-3 avg score 0.4678 < final_threshold 0.6
desktop graphical user interface,Open Source,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5670; levenshtein=0.2069; semantic=0.5799; sequence_match=0.2564,False,0.4678,False,top-3 avg score 0.4678 < final_threshold 0.6
